"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Clayton Kershaw",14000,"LAD@NYM 07:10PM ET",32.086,"LAD"
"SP","Jose Fernandez",13700,"Mia@Atl 07:35PM ET",26.210,"Mia"
"SP","Chris Sale",13200,"CWS@KC 08:15PM ET",27.145,"CWS"
"SP","Noah Syndergaard",13200,"LAD@NYM 07:10PM ET",27.306,"NYM"
"SP","Max Scherzer",13000,"StL@Was 07:05PM ET",23.875,"Was"
"SP","David Price",12900,"Bos@Tor 07:07PM ET",19.825,"Bos"
"SP","Stephen Strasburg",12300,"StL@Was 07:05PM ET",27.045,"Was"
"SP","Felix Hernandez",11900,"Min@Sea 10:10PM ET",18.628,"Sea"
"SP","Justin Verlander",11800,"Det@Oak 10:05PM ET",20.055,"Det"
"SP","Steven Matz",10900,"LAD@NYM 07:10PM ET",22.894,"NYM"
"SP","Zack Greinke",10700,"SD@Ari 09:40PM ET",14.955,"Ari"
"SP","Johnny Cueto",10500,"SF@Col 08:40PM ET",25.855,"SF"
"SP","Masahiro Tanaka",10400,"NYY@TB 07:10PM ET",17.783,"NYY"
"SP","Garrett Richards",10400,"Hou@LAA 10:05PM ET",17.300,"LAA"
"SP","Rich Hill",10300,"Det@Oak 10:05PM ET",21.715,"Oak"
"SP","Scott Kazmir",10200,"LAD@NYM 07:10PM ET",15.575,"LAD"
"SP","Julio Teheran",10200,"Mia@Atl 07:35PM ET",18.635,"Atl"
"SP","Cody Reed",10200,"SD@Ari 09:40PM ET",0,"Ari"
"SP","Steven Wright",10100,"Bos@Tor 07:07PM ET",21.056,"Bos"
"SP","Corey Kluber",10100,"Bal@Cle 07:10PM ET",20.340,"Cle"
"SP","Rick Porcello",9900,"Bos@Tor 07:07PM ET",20.006,"Bos"
"SP","Jacob deGrom",9900,"LAD@NYM 07:10PM ET",15.093,"NYM"
"SP","Carlos Carrasco",9800,"Bal@Cle 07:10PM ET",18.225,"Cle"
"SP","Hyun-Jin Ryu",9800,"LAD@NYM 07:10PM ET",0,"LAD"
"SP","Nathan Eovaldi",9700,"NYY@TB 07:10PM ET",17.400,"NYY"
"SP","Yu Darvish",9600,"Pit@Tex 08:05PM ET",0,"Tex"
"SP","Madison Bumgarner",9600,"SF@Col 08:40PM ET",25.155,"SF"
"SP","Danny Hultzen",9600,"Min@Sea 10:10PM ET",0,"Sea"
"SP","Danny Salazar",9600,"Bal@Cle 07:10PM ET",23.006,"Cle"
"SP","Jose Quintana",9600,"CWS@KC 08:15PM ET",21.345,"CWS"
"SP","Cole Hamels",9500,"Pit@Tex 08:05PM ET",21.267,"Tex"
"SP","Jimmy Nelson",9500,"Cin@Mil 08:10PM ET",17.950,"Mil"
"SP","Tyler Skaggs",9400,"Hou@LAA 10:05PM ET",0,"LAA"
"SP","Taijuan Walker",9400,"Min@Sea 10:10PM ET",16.833,"Sea"
"SP","Alex Wood",9200,"LAD@NYM 07:10PM ET",15.922,"LAD"
"SP","Brandon McCarthy",9000,"LAD@NYM 07:10PM ET",0,"LAD"
"SP","Drew Smyly",9000,"NYY@TB 07:10PM ET",18.790,"TB"
"SP","Raisel Iglesias",9000,"Cin@Mil 08:10PM ET",15.830,"Cin"
"SP","Nathan Karns",8900,"Min@Sea 10:10PM ET",17.017,"Sea"
"SP","Kenta Maeda",8900,"LAD@NYM 07:10PM ET",16.844,"LAD"
"SP","Wei-Yin Chen",8900,"Mia@Atl 07:35PM ET",13.911,"Mia"
"SP","CC Sabathia",8800,"NYY@TB 07:10PM ET",16.943,"NYY"
"SP","James Shields",8800,"SD@Ari 09:40PM ET",17.050,"SD"
"SP","Jordan Zimmermann",8800,"Det@Oak 10:05PM ET",18.789,"Det"
"SP","Wade Miley",8800,"Min@Sea 10:10PM ET",14.933,"Sea"
"SP","Patrick Corbin",8800,"SD@Ari 09:40PM ET",10.642,"Ari"
"SP","Rubby De La Rosa",8800,"SD@Ari 09:40PM ET",12.895,"Ari"
"SP","C.J. Wilson",8700,"Hou@LAA 10:05PM ET",0,"LAA"
"SP","Jeff Samardzija",8700,"SF@Col 08:40PM ET",22.675,"SF"
"SP","Robbie Ray",8700,"SD@Ari 09:40PM ET",14.189,"Ari"
"SP","Chris Tillman",8600,"Bal@Cle 07:10PM ET",19.720,"Bal"
"SP","Anthony DeSclafani",8600,"Cin@Mil 08:10PM ET",0,"Cin"
"SP","Zack Wheeler",8600,"LAD@NYM 07:10PM ET",0,"NYM"
"RP","Zach Lee",8600,"LAD@NYM 07:10PM ET",0,"LAD"
"SP","Drew Pomeranz",8500,"SD@Ari 09:40PM ET",22.472,"SD"
"SP","Michael Pineda",8500,"NYY@TB 07:10PM ET",12.506,"NYY"
"SP","Eduardo Rodriguez",8400,"Bos@Tor 07:07PM ET",0,"Bos"
"SP","Homer Bailey",8300,"Cin@Mil 08:10PM ET",0,"Cin"
"SP","Josh Tomlin",8300,"Bal@Cle 07:10PM ET",18.269,"Cle"
"SP","Gerrit Cole",8300,"Pit@Tex 08:05PM ET",17.333,"Pit"
"SP","Andrew Heaney",8300,"Hou@LAA 10:05PM ET",15.300,"LAA"
"SP","Ian Kennedy",8200,"CWS@KC 08:15PM ET",17.978,"KC"
"SP","Pat Dean",8200,"Min@Sea 10:10PM ET",10.100,"Min"
"SP","Nick Tropeano",8200,"Hou@LAA 10:05PM ET",16.250,"LAA"
"SP","Lance McCullers",8200,"Hou@LAA 10:05PM ET",16.750,"Hou"
"SP","Tyson Ross",8100,"SD@Ari 09:40PM ET",0.800,"SD"
"SP","Hisashi Iwakuma",8100,"Min@Sea 10:10PM ET",13.485,"Sea"
"SP","Henry Owens",8100,"Bos@Tor 07:07PM ET",5.183,"Bos"
"SP","Blake Snell",8100,"NYY@TB 07:10PM ET",19.450,"TB"
"SP","Matt Wisler",8100,"Mia@Atl 07:35PM ET",15.640,"Atl"
"SP","Brian Johnson",8000,"Bos@Tor 07:07PM ET",0,"Bos"
"SP","Chris Archer",7900,"NYY@TB 07:10PM ET",14.935,"TB"
"SP","Edinson Volquez",7800,"CWS@KC 08:15PM ET",15.440,"KC"
"SP","Jaime Garcia",7800,"StL@Was 07:05PM ET",17.456,"StL"
"SP","Gio Gonzalez",7700,"StL@Was 07:05PM ET",17.000,"Was"
"SP","Carlos Rodon",7700,"CWS@KC 08:15PM ET",14.328,"CWS"
"RP","Tyler Wagner",7700,"SD@Ari 09:40PM ET",9.967,"Ari"
"SP","Brett Anderson",7600,"LAD@NYM 07:10PM ET",0,"LAD"
"SP","Alex Cobb",7600,"NYY@TB 07:10PM ET",0,"TB"
"SP","Robert Stephenson",7600,"Cin@Mil 08:10PM ET",13.300,"Cin"
"SP","Julio Urias",7600,"LAD@NYM 07:10PM ET",0,"LAD"
"SP","Tanner Roark",7500,"StL@Was 07:05PM ET",18.315,"Was"
"SP","Josh Smith",7500,"Cin@Mil 08:10PM ET",-0.450,"Cin"
