"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16666-9488","SF","LeBron","James","45.03947368421053","76","9600","NY@CLE","CLE","NY","","","",""
"16666-9524","PG","Stephen","Curry","47.98101265822785","79","9300","SA@GS","GS","SA","","","",""
"16666-9646","SF","Kevin","Durant","46.30833265516493","72","9300","SA@GS","GS","SA","","","",""
"16666-20848","PG","Damian","Lillard","39.378665364583334","75","8900","UTA@POR","POR","UTA","","","",""
"16666-15860","PF","Draymond","Green","38.80864197530864","81","8200","SA@GS","GS","SA","","","",""
"16666-9508","SF","Carmelo","Anthony","37.69305419921875","72","8000","NY@CLE","NY","CLE","","","",""
"16666-14513","SF","Kawhi","Leonard","37.35833401150174","72","7900","SA@GS","SA","GS","","","",""
"16666-9570","C","Pau","Gasol","38.75555419921875","72","7600","SA@GS","SA","GS","","","",""
"16666-9688","PF","LaMarcus","Aldridge","32.3270263671875","74","7400","SA@GS","SA","GS","","","",""
"16666-14498","PG","Kyrie","Irving","30.673583984375","53","7100","NY@CLE","CLE","NY","","","",""
"16666-63122","PF","Kristaps","Porzingis","28.45138888888889","72","6900","NY@CLE","NY","CLE","","","",""
"16666-19067","SG","C.J.","McCollum","31.678750610351564","80","6900","UTA@POR","POR","UTA","","","",""
"16666-12351","PF","Derrick","Favors","32.04193509009577","62","6900","UTA@POR","UTA","POR","GTD","Knee","",""
"16666-9874","PF","Kevin","Love","32.27142730316559","77","6800","NY@CLE","CLE","NY","","","",""
"16666-14509","SG","Klay","Thompson","30.86499938964844","80","6500","SA@GS","GS","SA","","","",""
"16666-40203","C","Rudy","Gobert","28.32950779649078","61","6200","UTA@POR","UTA","POR","","","",""
"16666-9475","PG","Derrick","Rose","26.62878787878788","66","6000","NY@CLE","NY","CLE","","","",""
"16666-12359","SF","Evan","Turner","23.653086721161266","81","5600","UTA@POR","POR","UTA","","","",""
"16666-16178","SF","Maurice","Harkless","13.33974358974359","78","5600","UTA@POR","POR","UTA","","","",""
"16666-9703","PG","George","Hill","23.52162129170186","74","5600","UTA@POR","UTA","POR","","","",""
"16666-15590","C","Mason","Plumlee","24.239024092511432","82","5500","UTA@POR","POR","UTA","","","",""
"16666-15904","SG","Rodney","Hood","23.315190182456487","79","5400","UTA@POR","UTA","POR","","","",""
"16666-9447","SF","Joe","Johnson","22.091358326099538","81","5400","UTA@POR","UTA","POR","","","",""
"16666-9483","C","Joakim","Noah","21.913793103448278","29","5000","NY@CLE","NY","CLE","","","",""
"16666-12342","PF","Al-Farouq","Aminu","21.629267994950457","82","5000","UTA@POR","POR","UTA","","","",""
"16666-9702","PG","Tony","Parker","22.734722561306423","72","5000","SA@GS","SA","GS","","","",""
"16666-14501","C","Tristan","Thompson","21.196341165682163","82","4800","NY@CLE","CLE","NY","","","",""
"16666-9454","C","Zaza","Pachulia","23.113157573499176","76","4800","SA@GS","GS","SA","","","",""
"16666-14533","PG","Shelvin","Mack","16.55961491511418","52","4600","UTA@POR","UTA","POR","","","",""
"16666-9506","SG","J.R.","Smith","20.219480836546268","77","4500","NY@CLE","CLE","NY","","","",""
"16666-14510","SG","Alec","Burks","20.332257670740926","31","4500","UTA@POR","UTA","POR","O","Ankle","",""
"16666-9593","PG","Brandon","Jennings","14.972916920979818","48","4500","NY@CLE","NY","CLE","","","",""
"16666-9758","SG","Danny","Green","17.15063322043117","79","4400","SA@GS","SA","GS","O","Quadriceps","",""
"16666-9664","SF","Andre","Iguodala","18.555384239783653","65","4300","SA@GS","GS","SA","","","",""
"16666-15501","SG","Allen","Crabbe","16.490122853973766","81","4200","UTA@POR","POR","UTA","","","",""
"16666-14515","SG","Iman","Shumpert","14.492592140480324","54","4000","NY@CLE","CLE","NY","","","",""
"16666-9638","PF","David","Lee","17.327272727272728","55","4000","SA@GS","SA","GS","","","",""
"16666-58461","PF","Trey","Lyles","12.03499984741211","80","4000","UTA@POR","UTA","POR","","","",""
"16666-12365","PF","Ed","Davis","19.39259319540895","81","3900","UTA@POR","POR","UTA","","","",""
"16666-16301","C","Dewayne","Dedmon","11.24310302734375","58","3900","SA@GS","SA","GS","","","",""
"16666-9615","SG","Courtney","Lee","17.303797468354432","79","3900","NY@CLE","NY","CLE","","","",""
"16666-43064","PG","Kay","Felder","0","0","3900","NY@CLE","CLE","NY","GTD","Concussion","",""
"16666-9939","PG","Patty","Mills","15.711110809702932","81","3900","SA@GS","SA","GS","","","",""
"16666-16604","SG","Justin","Holiday","9.320754716981131","53","3800","NY@CLE","NY","CLE","","","",""
"16666-9629","PF","David","West","16.28589806189904","78","3800","SA@GS","GS","SA","","","",""
"16666-9678","PF","Channing","Frye","12.58999982561384","70","3800","NY@CLE","CLE","NY","","","",""
"16666-9513","C","Chris","Andersen","10.651852077907986","27","3700","NY@CLE","CLE","NY","","","",""
"16666-17384","C","Kyle","O'Quinn","12.215384615384615","65","3700","NY@CLE","NY","CLE","","","",""
"16666-9643","PG","Shaun","Livingston","14.602564102564102","78","3700","SA@GS","GS","SA","","","",""
"16666-9547","SF","Mike","Dunleavy","12.970967938823085","31","3600","NY@CLE","CLE","NY","","","",""
"16666-9704","SG","Manu","Ginobili","18.115516399515087","58","3600","SA@GS","SA","GS","","","",""
"16666-48799","PF","Maurice","Ndour","0","0","3500","NY@CLE","NY","CLE","","","",""
"16666-9490","C","Anderson","Varejao","7.35283041900059","53","3500","SA@GS","GS","SA","","","",""
"16666-59318","SF","Joe","Ingles","8.891358175395448","81","3500","UTA@POR","UTA","POR","","","",""
"16666-16026","SG","Markel","Brown","11.256452006678428","62","3500","NY@CLE","CLE","NY","","","",""
"16666-23656","SG","J.P.","Tokoto","0","0","3500","NY@CLE","NY","CLE","","","",""
"16666-9785","SG","James","Jones","6.041666666666667","48","3500","NY@CLE","CLE","NY","","","",""
"16666-9783","C","Joel","Anthony","3.721052470960115","19","3500","SA@GS","SA","GS","","","",""
"16666-63127","C","Guillermo","Hernangomez","0","0","3500","NY@CLE","NY","CLE","","","",""
"16666-9739","C","JaVale","McGee","11.091176650103401","34","3500","SA@GS","GS","SA","","","",""
"16666-41065","PG","Tim","Quarterman","0","0","3500","UTA@POR","POR","UTA","","","",""
"16666-48526","SG","Cameron","Jones","0","0","3500","SA@GS","GS","SA","","","",""
"16666-14552","SG","DeAndre","Liggins","0","0","3500","NY@CLE","CLE","NY","","","",""
"16666-12360","SG","Elliot","Williams","3.959999847412109","5","3500","SA@GS","GS","SA","GTD","Knee","",""
"16666-14543","SF","Davis","Bertans","0","0","3500","SA@GS","SA","GS","","","",""
"16666-41082","C","Damian","Jones","0","0","3500","SA@GS","GS","SA","O","Pectoral","",""
"16666-16859","SF","Lance","Thomas","12.232203596729343","59","3500","NY@CLE","NY","CLE","","","",""
"16666-9567","SG","Sasha","Vujacic","10.406557176933914","61","3500","NY@CLE","NY","CLE","","","",""
"16666-59416","SG","John","Holland","0","0","3500","NY@CLE","CLE","NY","","","",""
"16666-23134","SG","Patricio","Garino","0","0","3500","SA@GS","SA","GS","","","",""
"16666-16331","C","Festus","Ezeli","16.91304347826087","46","3500","UTA@POR","POR","UTA","O","Knee","",""
"16666-15589","C","Marshall","Plumlee","0","0","3500","NY@CLE","NY","CLE","","","",""
"16666-9546","SG","Dahntay","Jones","28","1","3500","NY@CLE","CLE","NY","","","",""
"16666-58576","PF","Kevon","Looney","4","5","3500","SA@GS","GS","SA","","","",""
"16666-15560","PG","Shabazz","Napier","7.572727272727272","55","3500","UTA@POR","POR","UTA","GTD","Ankle","",""
"16666-17747","SG","Ian","Clark","6.524242516719934","66","3500","SA@GS","GS","SA","","","",""
"16666-42661","PF","Noah","Vonleh","9.615384615384615","78","3500","UTA@POR","POR","UTA","","","",""
"16666-18821","SF","Jonathon","Simmons","9.763636363636364","55","3500","SA@GS","SA","GS","GTD","Calf","",""
"16666-23189","PF","Joel","Bolomboy","0","0","3500","UTA@POR","UTA","POR","","","",""
"16666-23780","PF","Jake","Layman","0","0","3500","UTA@POR","POR","UTA","","","",""
"16666-23788","SG","Bryn","Forbes","0","0","3500","SA@GS","SA","GS","","","",""
"16666-15669","PF","Meyers","Leonard","16.37377029168801","61","3500","UTA@POR","POR","UTA","","","",""
"16666-15629","C","Henry","Sims","15.92142813546317","14","3500","UTA@POR","UTA","POR","","","",""
"16666-15925","PG","Phil","Pressey","10.269565084706182","23","3500","SA@GS","GS","SA","","","",""
"16666-58658","SG","Patrick","McCaw","0","0","3500","SA@GS","GS","SA","","","",""
"16666-55061","SF","Damien","Inglis","4.759999847412109","20","3500","NY@CLE","NY","CLE","","","",""
"16666-15955","PF","James Michael","McAdoo","5.660975758622333","41","3500","SA@GS","GS","SA","","","",""
"16666-16197","PG","Chasson","Randle","0","0","3500","NY@CLE","NY","CLE","","","",""
"16666-15475","PF","Cory","Jefferson","5.400000095367432","8","3500","NY@CLE","CLE","NY","","","",""
"16666-23716","SF","Kyle","Anderson","12.147435897435898","78","3500","SA@GS","SA","GS","","","",""
"16666-15736","C","Jeff","Withey","11.266666187959558","51","3500","UTA@POR","UTA","POR","","","",""
"16666-9679","PF","Louis","Amundson","4.8206897604054415","29","3500","NY@CLE","NY","CLE","","","",""
"16666-55055","PG","Dante","Exum","0","82","3500","UTA@POR","UTA","POR","","","",""
"16666-15993","SG","Pat","Connaughton","2.4529412213493798","34","3500","UTA@POR","POR","UTA","","","",""
"16666-11390","C","Greg","Stiemsma","0","17","3500","UTA@POR","POR","UTA","","","",""
"16666-71345","SF","Mindaugas","Kuzminskas","0","0","3500","NY@CLE","NY","CLE","","","",""
"16666-16230","SG","Jordan","McRae","6.9772727272727275","22","3500","NY@CLE","CLE","NY","","","",""
"16666-40204","PF","Livio","Jean-Charles","0","0","3500","SA@GS","SA","GS","","","",""
"16666-40208","PG","Raul","Neto","11.092592592592593","81","3500","UTA@POR","UTA","POR","","","",""
"16666-23546","PF","Grant","Jerrett","0","8","3500","UTA@POR","POR","UTA","","","",""
"16666-16243","SF","Jonathan","Holmes","0","0","3500","NY@CLE","CLE","NY","","","",""
"16666-17462","SG","Chris","Johnson","7.06999991280692","70","3500","UTA@POR","UTA","POR","","","",""
"16666-67708","PG","Dejounte","Murray","0","0","3500","SA@GS","SA","GS","","","",""
"16666-9471","PF","Boris","Diaw","13.478947689658717","76","3500","UTA@POR","UTA","POR","","","",""
"16666-9706","SF","Richard","Jefferson","9.501351021431589","74","3500","NY@CLE","CLE","NY","","","",""
"16666-74164","PG","Nicolas","Laprovittola","0","0","3500","SA@GS","SA","GS","","","",""
"16666-22727","PG","Ron","Baker","0","0","3500","NY@CLE","NY","CLE","","","",""
