"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16711-14190","WR","Julio","Jones","18.142857142857142","7","9200","GB@ATL","ATL","GB","","","",""
"16711-6894","QB","Aaron","Rodgers","20.573333740234375","6","8800","GB@ATL","GB","ATL","","","",""
"16711-6498","QB","Tom","Brady","25.019999186197918","3","8700","NE@BUF","NE","BUF","","","",""
"16711-62497","RB","David","Johnson","22.91428484235491","7","8700","ARI@CAR","ARI","CAR","","","",""
"16711-6616","QB","Matt","Ryan","23.13142830984933","7","8500","GB@ATL","ATL","GB","","","",""
"16711-38791","RB","Ezekiel","Elliott","18.933333079020183","6","8500","PHI@DAL","DAL","PHI","","","",""
"16711-14185","QB","Cam","Newton","22.527999877929688","5","8300","ARI@CAR","CAR","ARI","","","",""
"16711-22015","QB","Russell","Wilson","13.843332926432291","6","8200","SEA@NO","SEA","NO","","","",""
"16711-11460","TE","Rob","Gronkowski","11.6","5","8100","NE@BUF","NE","BUF","","","",""
"16711-6504","QB","Drew","Brees","24.339998881022137","6","8000","SEA@NO","NO","SEA","","","",""
"16711-21939","QB","Andrew","Luck","21.98000008719308","7","7900","KC@IND","IND","KC","","","",""
"16711-32384","WR","Mike","Evans","18.416666666666668","6","7900","OAK@TB","TB","OAK","","","",""
"16711-45859","QB","Derek","Carr","18.588570731026785","7","7800","OAK@TB","OAK","TB","","","",""
"16711-32418","RB","Christine","Michael","14.433333079020182","6","7800","SEA@NO","SEA","NO","","","",""
"16711-22031","WR","T.Y.","Hilton","16.485714503696986","7","7800","KC@IND","IND","KC","","","",""
"16711-6779","RB","LeSean","McCoy","17.357142857142858","7","7800","NE@BUF","BUF","NE","Q","Hamstring","",""
"16711-6654","QB","Matthew","Stafford","20.73714338030134","7","7700","DET@HOU","DET","HOU","","","",""
"16711-16606","WR","DeAndre","Hopkins","11.483333587646484","6","7600","DET@HOU","HOU","DET","","","",""
"16711-14377","QB","Tyrod","Taylor","17.854286193847656","7","7600","NE@BUF","BUF","NE","","","",""
"16711-31001","WR","Amari","Cooper","13.057143075125557","7","7500","OAK@TB","OAK","TB","","","",""
"16711-6893","WR","Jordy","Nelson","12.266666412353516","6","7500","GB@ATL","GB","ATL","","","",""
"16711-31459","RB","Spencer","Ware","16.1999994913737","6","7400","KC@IND","KC","IND","","","",""
"16711-6914","TE","Greg","Olsen","15.75","6","7400","ARI@CAR","CAR","ARI","","","",""
"16711-22103","WR","Marvin","Jones Jr.","14.728571210588727","7","7400","DET@HOU","DET","HOU","","","",""
"16711-24849","QB","Jameis","Winston","18.623332977294922","6","7400","OAK@TB","TB","OAK","","","",""
"16711-22037","RB","Lamar","Miller","13.933333079020182","6","7400","DET@HOU","HOU","DET","","","",""
"16711-6759","WR","Brandon","Marshall","10.599999564034599","7","7400","NYJ@CLE","NYJ","CLE","","","",""
"16711-7659","QB","Ryan","Fitzpatrick","11.819999694824219","7","7300","NYJ@CLE","NYJ","CLE","","","",""
"16711-11435","WR","Dez","Bryant","8.833333333333334","3","7300","PHI@DAL","DAL","PHI","Q","Knee","",""
"16711-7968","QB","Philip","Rivers","17.802857535226003","7","7300","SD@DEN","SD","DEN","","","",""
"16711-6899","RB","Matt","Forte","13.957142421177455","7","7300","NYJ@CLE","NYJ","CLE","","","",""
"16711-24929","WR","Kelvin","Benjamin","12.983333587646484","6","7300","ARI@CAR","CAR","ARI","","","",""
"16711-6748","QB","Carson","Palmer","15","6","7300","ARI@CAR","ARI","CAR","","","",""
"16711-29501","WR","Brandin","Cooks","15.083333333333334","6","7200","SEA@NO","NO","SEA","","","",""
"16711-14626","WR","Doug","Baldwin","11.933333079020182","6","7200","SEA@NO","SEA","NO","","","",""
"16711-28900","RB","Melvin","Gordon","18.514286586216517","7","7200","SD@DEN","SD","DEN","","","",""
"16711-31716","QB","Dak","Prescott","17.856666564941406","6","7100","PHI@DAL","DAL","PHI","","","",""
"16711-9392","WR","Michael","Crabtree","14.799999782017299","7","7100","OAK@TB","OAK","TB","","","",""
"16711-11432","WR","Demaryius","Thomas","12.183333079020182","6","7000","SD@DEN","DEN","SD","","","",""
"16711-6883","WR","Larry","Fitzgerald","14.5","7","7000","ARI@CAR","ARI","CAR","","","",""
"16711-15212","WR","Terrelle","Pryor Sr.","12.619999476841517","7","6900","NYJ@CLE","CLE","NYJ","","","",""
"16711-28434","QB","Trevor","Siemian","14.49199981689453","5","6900","SD@DEN","DEN","SD","","","",""
"16711-24920","RB","Devonta","Freeman","13.814285278320312","7","6900","GB@ATL","ATL","GB","","","",""
"16711-14257","WR","Randall","Cobb","12.266666412353516","6","6800","GB@ATL","GB","ATL","","","",""
"16711-8005","QB","Alex","Smith","15.106666564941406","6","6800","KC@IND","KC","IND","","","",""
"16711-29249","RB","C.J.","Anderson","12.966667175292969","6","6700","SD@DEN","DEN","SD","","","",""
"16711-70324","QB","Carson","Wentz","14.376667022705078","6","6700","PHI@DAL","PHI","DAL","","","",""
"16711-11512","TE","Jimmy","Graham","9.716666539510092","6","6700","SEA@NO","SEA","NO","","","",""
"16711-21994","QB","Brock","Osweiler","13.913333892822266","6","6600","DET@HOU","HOU","DET","","","",""
"16711-21970","RB","Doug","Martin","7.199999809265137","2","6600","OAK@TB","TB","OAK","Q","Hamstring","",""
"16711-11779","RB","LeGarrette","Blount","15.528570992606026","7","6600","NE@BUF","NE","BUF","","","",""
"16711-45889","WR","Davante","Adams","12.833333333333334","6","6600","GB@ATL","GB","ATL","","","",""
"16711-11505","WR","Emmanuel","Sanders","12.883333841959635","6","6600","SD@DEN","DEN","SD","","","",""
"16711-42028","WR","Will","Fuller","12.140000152587891","5","6600","DET@HOU","HOU","DET","","","",""
"16711-14336","RB","Jacquizz","Rodgers","8.259999847412109","5","6600","OAK@TB","TB","OAK","","","",""
"16711-7859","WR","Julian","Edelman","7.5","7","6500","NE@BUF","NE","BUF","","","",""
"16711-7283","WR","Jeremy","Maclin","8.783333460489908","6","6400","KC@IND","KC","IND","","","",""
"16711-26483","QB","Geno","Smith","4.46999979019165","2","6400","NYJ@CLE","NYJ","CLE","O","Knee","",""
"16711-44449","WR","Willie","Snead","12.860000610351562","5","6400","SEA@NO","NO","SEA","","","",""
"16711-6803","QB","Josh","McCown","16.399999618530273","1","6400","NYJ@CLE","CLE","NYJ","Q","Collarbone","",""
"16711-29734","RB","Ty","Montgomery","5.166666666666667","6","6400","GB@ATL","GB","ATL","","","",""
"16711-29587","QB","Cody","Kessler","10.616000366210937","5","6300","NYJ@CLE","CLE","NYJ","Q","Concussion","",""
"16711-11485","WR","Golden","Tate","9","7","6300","DET@HOU","DET","HOU","","","",""
"16711-6840","RB","Frank","Gore","13.271428789411273","7","6300","KC@IND","IND","KC","","","",""
"16711-14211","RB","Mark","Ingram","12.966667175292969","6","6200","SEA@NO","NO","SEA","","","",""
"16711-34331","RB","Latavius","Murray","13.160000610351563","5","6200","OAK@TB","OAK","TB","","","",""
"16711-7744","QB","Drew","Stanton","3.265000104904175","4","6200","ARI@CAR","ARI","CAR","","","",""
"16711-27266","WR","Quincy","Enunwa","9.842857360839844","7","6100","NYJ@CLE","NYJ","CLE","","","",""
"16711-22288","WR","Cole","Beasley","12.366666158040365","6","6100","PHI@DAL","DAL","PHI","","","",""
"16711-6733","RB","Jonathan","Stewart","9.833333333333334","3","6100","ARI@CAR","CAR","ARI","","","",""
"16711-21959","QB","Brandon","Weeden","11.403333028157553","6","6000","DET@HOU","HOU","DET","NA","Coach's decision","",""
"16711-27776","RB","Tevin","Coleman","14.557143075125557","7","6000","GB@ATL","ATL","GB","Q","Hamstring","",""
"16711-7970","QB","Charlie","Whitehurst","10.380000114440918","1","6000","NYJ@CLE","CLE","NYJ","","","",""
"16711-30837","WR","Jordan","Matthews","9.983333587646484","6","6000","PHI@DAL","PHI","DAL","","","",""
"16711-6679","QB","Matt","Schaub","15.300000190734863","2","6000","GB@ATL","ATL","GB","","","",""
"16711-29715","QB","Kevin","Hogan","18.399999618530273","1","6000","NYJ@CLE","CLE","NYJ","","","",""
"16711-22027","QB","Nick","Foles","9.64363653009588","11","6000","KC@IND","KC","IND","","","",""
"16711-54684","RB","Isaiah","Crowell","12.885713849748884","7","5900","NYJ@CLE","CLE","NYJ","","","",""
"16711-30237","RB","Mike","Gillislee","5.128571646554129","7","5900","NE@BUF","BUF","NE","","","",""
"16711-54606","WR","John","Brown","7.016666412353516","6","5900","ARI@CAR","ARI","CAR","Q","Leg","",""
"16711-33465","RB","Theo","Riddick","14.61999969482422","5","5900","DET@HOU","DET","HOU","Q","Ankle","",""
"16711-22035","WR","Travis","Benjamin","9.985714503696986","7","5900","SD@DEN","SD","DEN","","","",""
"16711-32514","QB","Trevone","Boykin","5.400000095367432","1","5800","SEA@NO","SEA","NO","","","",""
"16711-6639","QB","Tony","Romo","11.914999961853027","4","5800","PHI@DAL","DAL","PHI","O","Back","",""
"16711-6479","WR","Anquan","Boldin","9.599999564034599","7","5800","DET@HOU","DET","HOU","","","",""
"16711-30231","QB","Jacoby","Brissett","9.433333079020182","3","5800","NE@BUF","NE","BUF","IR","Thumb","",""
"16711-25410","QB","Mike","Glennon","0","0","5800","OAK@TB","TB","OAK","","","",""
"16711-54604","QB","Jimmy","Garoppolo","11.846666971842447","3","5800","NE@BUF","NE","BUF","","","",""
"16711-62535","WR","Tyrell","Williams","11.442856924874443","7","5800","SD@DEN","SD","DEN","","","",""
"16711-28930","RB","James","White","9.299999782017299","7","5800","NE@BUF","NE","BUF","","","",""
"16711-40845","TE","Hunter","Henry","9.766666412353516","6","5800","SD@DEN","SD","DEN","Q","Concussion","",""
"16711-30968","RB","Eddie","Lacy","8.15999984741211","5","5800","GB@ATL","GB","ATL","IR","Ankle","",""
"16711-33463","QB","Paxton","Lynch","12.0600004196167","2","5800","SD@DEN","DEN","SD","","","",""
"16711-6728","RB","Jamaal","Charles","4.133333206176758","3","5800","KC@IND","KC","IND","","","",""
"16711-21971","TE","Coby","Fleener","9.466666539510092","6","5700","SEA@NO","NO","SEA","","","",""
"16711-33076","TE","Travis","Kelce","8.84999974568685","6","5700","KC@IND","KC","IND","","","",""
"16711-28573","WR","Michael","Thomas","13.283332824707031","6","5700","SEA@NO","NO","SEA","","","",""
"16711-6627","WR","Ted","Ginn Jr.","4.283333460489909","6","5600","ARI@CAR","CAR","ARI","","","",""
"16711-39580","RB","Devontae","Booker","4.100000063578288","6","5600","SD@DEN","DEN","SD","","","",""
"16711-22018","WR","Mohamed","Sanu","7.0428570338657925","7","5600","GB@ATL","ATL","GB","","","",""
"16711-22848","QB","Austin","Davis","7.393333435058594","3","5500","SD@DEN","DEN","SD","NA","Coach's decision","",""
"16711-32613","RB","DeAndre","Washington","4.9571429661342075","7","5500","OAK@TB","OAK","TB","","","",""
"16711-31732","WR","Corey","Coleman","16.399999618530273","2","5500","NYJ@CLE","CLE","NYJ","O","Hand","",""
"16711-11425","RB","Ryan","Mathews","9.333333333333334","6","5500","PHI@DAL","PHI","DAL","","","",""
"16711-39445","WR","Brice","Butler","4.366666793823242","6","5500","PHI@DAL","DAL","PHI","","","",""
"16711-28677","QB","Matt","McGloin","5.340000152587891","2","5500","OAK@TB","OAK","TB","","","",""
"16711-22004","TE","Dwayne","Allen","7.033333460489909","6","5400","KC@IND","IND","KC","Q","Ankle","",""
