"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16721-8193","G","Tuukka","Rask","29.333333333333332","3","9200","MIN@BOS","BOS","MIN","DTD","Undisclosed","",""
"16721-8781","G","Cory","Schneider","21.280000305175783","5","9100","ARI@NJ","NJ","ARI","","","",""
"16721-8712","G","Roberto","Luongo","20","4","9100","FLA@PIT","FLA","PIT","","","",""
"16721-8883","G","Ben","Bishop","11.466667175292969","3","9000","TB@TOR","TB","TOR","","","",""
"16721-8212","G","Ryan","Miller","21.200000762939453","2","9000","OTT@VAN","VAN","OTT","","","",""
"16721-42869","G","Matt","Murray","21.53846153846154","13","8800","FLA@PIT","PIT","FLA","IR","Hand","",""
"16721-12163","G","Sergei","Bobrovsky","25","4","8700","CLS@LA","CLS","LA","","","",""
"16721-8612","G","Marc-Andre","Fleury","17.066666920979817","6","8700","FLA@PIT","PIT","FLA","","","",""
"16721-8412","G","Jonathan","Quick","7.199999809265137","1","8600","CLS@LA","LA","CLS","IR","Groin","",""
"16721-15400","G","Petr","Mrazek","19","4","8600","CAR@DET","DET","CAR","","","",""
"16721-54565","G","Andrei","Vasilevskiy","29.600000381469727","2","8500","TB@TOR","TB","TOR","","","",""
"16721-9112","G","Jake","Allen","14.080000305175782","5","8500","CGY@STL","STL","CGY","","","",""
"16721-8292","G","Craig","Anderson","17.399999618530273","4","8500","OTT@VAN","OTT","VAN","","","",""
"16721-8353","G","Jimmy","Howard","38.79999923706055","2","8500","CAR@DET","DET","CAR","","","",""
"16721-23072","G","Frederik","Andersen","9.800000190734863","4","8500","TB@TOR","TOR","TB","","","",""
"16721-15268","G","John","Gibson","11.359999847412109","5","8400","ANH@SJ","ANH","SJ","","","",""
"16721-8920","G","Devan","Dubnyk","14.560000610351562","5","8400","MIN@BOS","MIN","BOS","","","",""
"16721-11133","G","Carter","Hutton","30.399999618530273","1","8400","CGY@STL","STL","CGY","","","",""
"16721-9278","G","Martin","Jones","12","5","8400","ANH@SJ","SJ","ANH","","","",""
"16721-8672","G","Mike","Smith","15.600000381469727","2","8400","ARI@NJ","ARI","NJ","IR","Lower body","",""
"16721-8172","G","Kari","Lehtonen","14.399999618530273","4","8300","WPG@DAL","DAL","WPG","","","",""
"16721-12283","G","Jacob","Markstrom","20.200000762939453","4","8200","OTT@VAN","VAN","OTT","","","",""
"16721-8655","C","Steven","Stamkos","17","5","8200","TB@TOR","TB","TOR","","","",""
"16721-8594","C","Sidney","Crosby","16.110000610351562","80","8200","FLA@PIT","PIT","FLA","O","Concussion","",""
"16721-8986","W","Jamie","Benn","13.739999389648437","5","8100","WPG@DAL","DAL","WPG","","","",""
"16721-8426","D","Brent","Burns","25.5500005086263","6","8100","ANH@SJ","SJ","ANH","","","",""
"16721-8780","G","Jonathan","Bernier","21.600000381469727","1","8000","ANH@SJ","ANH","SJ","","","",""
"16721-9288","G","Antti","Niemi","11.199999809265137","2","7900","WPG@DAL","DAL","WPG","","","",""
"16721-23071","W","Vladimir","Tarasenko","21.850001017252605","6","7900","CGY@STL","STL","CGY","","","",""
"16721-14466","G","Darcy","Kuemper","11.600000381469727","2","7900","MIN@BOS","MIN","BOS","","","",""
"16721-8595","C","Evgeni","Malkin","13.5","6","7900","FLA@PIT","PIT","FLA","","","",""
"16721-12417","C","Tyler","Seguin","14.7","5","7900","WPG@DAL","DAL","WPG","","","",""
"16721-8864","G","Robin","Lehner","10.800000190734863","4","7800","BUF@PHI","BUF","PHI","DTD","Illness","",""
"16721-9052","G","James","Reimer","8","1","7800","FLA@PIT","FLA","PIT","","","",""
"16721-8312","G","Steve","Mason","9","4","7800","BUF@PHI","PHI","BUF","","","",""
"16721-9302","G","Michal","Neuvirth","8","2","7800","BUF@PHI","PHI","BUF","","","",""
"16721-8615","W","Joe","Pavelski","20.166666666666668","6","7800","ANH@SJ","SJ","ANH","","","",""
"16721-8944","G","Chad","Johnson","13.866666158040365","3","7700","CGY@STL","CGY","STL","","","",""
"16721-14183","G","Keith","Kinkaid","14.33043504797894","23","7600","ARI@NJ","NJ","ARI","","","",""
"16721-8958","G","Jeff","Zatkoff","0.5333333412806193","3","7600","CLS@LA","LA","CLS","IR","Lower body","",""
"16721-39349","G","Reto","Berra","16.857142857142858","14","7600","FLA@PIT","FLA","PIT","","","",""
"16721-58904","G","Aaron","Dell","20.799999237060547","1","7600","ANH@SJ","SJ","ANH","","","",""
"16721-8134","C","Ryan","Getzlaf","17.900000254313152","6","7600","ANH@SJ","ANH","SJ","","","",""
"16721-39844","G","Mike","Condon","5.599999904632568","1","7600","FLA@PIT","PIT","FLA","","","",""
"16721-8553","G","Brian","Elliott","0.8000000317891439","3","7600","CGY@STL","CGY","STL","","","",""
"16721-8252","G","Cam","Ward","2.4000000953674316","2","7500","CAR@DET","CAR","DET","","","",""
"16721-8893","G","Anton","Khudobin","2","2","7400","MIN@BOS","BOS","MIN","DTD","Undisclosed","",""
"16721-9005","G","Jhonas","Enroth","7.199999809265137","1","7400","TB@TOR","TOR","TB","","","",""
"16721-58909","G","Connor","Hellebuyck","10.133333206176758","3","7400","WPG@DAL","WPG","DAL","","","",""
"16721-8293","G","Peter","Budaj","12.800000508626303","3","7400","CLS@LA","LA","CLS","","","",""
"16721-8182","W","Blake","Wheeler","16.23999938964844","5","7400","WPG@DAL","WPG","DAL","","","",""
"16721-11294","G","Michael","Hutchinson","15.199999809265137","2","7400","WPG@DAL","WPG","DAL","","","",""
"16721-54809","G","Linus","Ullmark","15.639999389648438","20","7400","BUF@PHI","BUF","PHI","","","",""
"16721-14483","G","Louis","Domingue","1.7999999523162842","4","7400","ARI@NJ","ARI","NJ","","","",""
"16721-15321","C","Mark","Scheifele","18.08000030517578","5","7300","WPG@DAL","WPG","DAL","","","",""
"16721-38930","G","Andrew","Hammond","-4","1","7300","OTT@VAN","OTT","VAN","","","",""
"16721-8394","C","Anze","Kopitar","14.739999389648437","5","7300","CLS@LA","LA","CLS","","","",""
"16721-54065","G","Joonas","Korpisalo","19.12258025138609","31","7300","CLS@LA","CLS","LA","IR","Groin","",""
"16721-15258","G","Garret","Sparks","12.329412123736214","17","7200","TB@TOR","TOR","TB","","","",""
"16721-12619","G","Jack","Campbell","0","0","7200","CLS@LA","LA","CLS","","","",""
"16721-8551","D","Erik","Karlsson","21.3","5","7200","OTT@VAN","OTT","VAN","","","",""
"16721-43131","G","Malcolm","Subban","0","0","7200","MIN@BOS","BOS","MIN","","","",""
"16721-54514","W","Johnny","Gaudreau","10","6","7100","CGY@STL","CGY","STL","","","",""
"16721-8763","W","Brad","Marchand","21.7","5","7100","MIN@BOS","BOS","MIN","","","",""
"16721-9212","G","Justin","Peters","14.399999618530273","1","7100","ARI@NJ","ARI","NJ","","","",""
"16721-8142","W","Corey","Perry","15.15000025431315","6","7100","ANH@SJ","ANH","SJ","","","",""
"16721-9252","G","Alex","Stalock","8.123076805701622","13","7100","MIN@BOS","MIN","BOS","","","",""
"16721-14468","G","Anders","Nilsson","13.048275651602909","29","7100","BUF@PHI","BUF","PHI","","","",""
